Episode Number: 90, Episode Reward: -18.0, Running Mean: -15.554677853628801
Episode Number: 91, Episode Reward: -13.0, Running Mean: -15.529131075092513
Episode Number: 92, Episode Reward: -14.0, Running Mean: -15.513839764341588
Episode Number: 93, Episode Reward: -12.0, Running Mean: -15.478701366698171
Episode Number: 94, Episode Reward: -12.0, Running Mean: -15.44391435303119
Episode Number: 95, Episode Reward: -13.0, Running Mean: -15.41947520950088
Episode Number: 96, Episode Reward: -16.0, Running Mean: -15.42528045740587
Episode Number: 97, Episode Reward: -12.0, Running Mean: -15.391027652831811
Episode Number: 98, Episode Reward: -14.0, Running Mean: -15.377117376303493
Episode Number: 99, Episode Reward: -16.0, Running Mean: -15.383346202540459
Episode Number: 100, Episode Reward: -19.0, Running Mean: -15.419512740515053
Episode Number: 101, Episode Reward: -13.0, Running Mean: -15.395317613109903
Episode Number: 102, Episode Reward: -9.0, Running Mean: -15.331364436978804
Episode Number: 103, Episode Reward: -15.0, Running Mean: -15.328050792609016
Episode Number: 104, Episode Reward: -11.0, Running Mean: -15.284770284682924
Episode Number: 105, Episode Reward: -10.0, Running Mean: -15.231922581836095
Episode Number: 106, Episode Reward: -14.0, Running Mean: -15.219603356017734
Episode Number: 107, Episode Reward: -17.0, Running Mean: -15.237407322457557
Episode Number: 108, Episode Reward: -16.0, Running Mean: -15.245033249232982
Episode Number: 109, Episode Reward: -14.0, Running Mean: -15.232582916740652
Episode Number: 110, Episode Reward: -11.0, Running Mean: -15.190257087573245
Episode Number: 111, Episode Reward: -7.0, Running Mean: -15.108354516697514
Episode Number: 112, Episode Reward: -15.0, Running Mean: -15.10727097153054
Episode Number: 113, Episode Reward: -11.0, Running Mean: -15.066198261815233
Episode Number: 114, Episode Reward: -8.0, Running Mean: -14.995536279197081
Episode Number: 115, Episode Reward: -14.0, Running Mean: -14.98558091640511
Episode Number: 116, Episode Reward: -14.0, Running Mean: -14.97572510724106
Episode Number: 117, Episode Reward: -10.0, Running Mean: -14.925967856168649
Episode Number: 118, Episode Reward: -17.0, Running Mean: -14.946708177606963
Episode Number: 119, Episode Reward: -14.0, Running Mean: -14.937241095830894
Episode Number: 120, Episode Reward: -14.0, Running Mean: -14.927868684872585
Episode Number: 121, Episode Reward: -13.0, Running Mean: -14.90858999802386
Episode Number: 122, Episode Reward: -15.0, Running Mean: -14.909504098043621
